,SUIUSDT,HUMAUSDT,ADAUSDT,FILUSDT,AVAXUSDT,BCHUSDT,PAXGUSDT,TAOUSDT,LINKUSDT,XAIUSDT,OGNUSDT,NEARUSDT,DOTUSDT,RESOLVUSDT,FLOWUSDT,SIRENUSDT,ENAUSDT,LTCUSDT,AAVEUSDT,TRXUSDT
SUIUSDT,1.0,0.7856218730668296,0.9777843455291249,0.9371847527823393,0.9603040028872379,0.1555656392416259,-0.9061308864910568,0.8607115036503794,0.8896903977315931,0.9670425208011318,0.9800069884373641,0.9400311584076524,0.9791198107854384,0.6706153451396649,0.9127584232020125,-0.494209410396035,0.920960044744958,0.9233553896899668,0.9795007878408358,0.7008417136134325
HUMAUSDT,0.7856218730668296,1.0,0.705787434969135,0.7820186773570148,0.7074349150723982,0.14984480666012792,-0.7564153583275747,0.7410595027177764,0.6176564682497943,0.7823892134427045,0.7591378173634408,0.7668367561487793,0.759409508211081,0.6181927955885205,0.8001088074893928,-0.6376847364751526,0.6552918820820927,0.7338725522850377,0.77310287072662,0.3299315174704261
ADAUSDT,0.9777843455291249,0.705787434969135,1.0,0.9164590231460075,0.9802333300835859,0.15865179255291662,-0.8702025705452195,0.8590820654496235,0.9419457130671087,0.930303523725012,0.9833526438945557,0.953952370178657,0.9779406415840186,0.6136923429816217,0.9221992605368582,-0.4214003602025035,0.961814727232805,0.9520136409296049,0.9682684545479235,0.7578839137593184
FILUSDT,0.9371847527823393,0.7820186773570148,0.9164590231460075,1.0,0.8907184215715931,0.08407371460795823,-0.9212109294420168,0.8321679508693796,0.8051613732709163,0.9475017644279236,0.9388458694107219,0.9410597644942427,0.962253332271775,0.7820264923586018,0.9126286394049766,-0.5221300499289468,0.8427706452589124,0.8997787323631159,0.9371018096687272,0.5721265381000891
AVAXUSDT,0.9603040028872379,0.7074349150723982,0.9802333300835859,0.8907184215715931,1.0,0.21290674755452696,-0.8140239621111764,0.8175425689053217,0.9427096357305401,0.9009096615760929,0.9590106686262602,0.9546763807892895,0.962966307075351,0.5716855589386585,0.8960512368938967,-0.3969284338165218,0.9539034235246391,0.9397255132314095,0.939480392875583,0.7714772975294105
BCHUSDT,0.1555656392416259,0.14984480666012792,0.15865179255291662,0.08407371460795823,0.21290674755452696,1.0,0.020212545099477553,0.004337220935242914,0.37227759929218895,0.018890725244988856,0.15134880282144367,0.12641718383303951,0.05876342750268612,-0.09265183782192156,0.06884400326463035,-0.26642600086371004,0.31677734406228136,0.30186015650181136,0.13290987697035742,0.43895823304033343
PAXGUSDT,-0.9061308864910568,-0.7564153583275747,-0.8702025705452195,-0.9212109294420168,-0.8140239621111764,0.020212545099477553,1.0,-0.7951858818477714,-0.719657011487783,-0.956169564106932,-0.913092527163147,-0.8361988137710246,-0.9046865620534567,-0.7619284939305438,-0.9079165886908224,0.5620396430641966,-0.7895814553110121,-0.8218347772578803,-0.9237050856116598,-0.46320646008352856
TAOUSDT,0.8607115036503794,0.7410595027177764,0.8590820654496235,0.8321679508693796,0.8175425689053217,0.004337220935242914,-0.7951858818477714,1.0,0.7704195280514631,0.8109808160458589,0.8640420414501223,0.8932520524375939,0.8769682357095725,0.4776120734115717,0.8849002837191702,-0.5108532544486397,0.8085305015482271,0.854020445967198,0.85727792140334,0.4589645175751589
LINKUSDT,0.8896903977315931,0.6176564682497943,0.9419457130671087,0.8051613732709163,0.9427096357305401,0.37227759929218895,-0.719657011487783,0.7704195280514631,1.0,0.789033597601106,0.9132662585011198,0.8982401815428025,0.8805056492406004,0.449587668411429,0.8428438172514181,-0.36634456814897476,0.9744142438854622,0.94753946651729,0.8834046534695873,0.8514084333795117
XAIUSDT,0.9670425208011318,0.7823892134427045,0.930303523725012,0.9475017644279236,0.9009096615760929,0.018890725244988856,-0.956169564106932,0.8109808160458589,0.789033597601106,1.0,0.9569810505084193,0.8892886525589799,0.9626087722336208,0.7801026419464369,0.9045713057036763,-0.493161942930192,0.8386845062762964,0.8502417933528945,0.9663664611151174,0.5773933235346639
OGNUSDT,0.9800069884373641,0.7591378173634408,0.9833526438945557,0.9388458694107219,0.9590106686262602,0.15134880282144367,-0.913092527163147,0.8640420414501223,0.9132662585011198,0.9569810505084193,1.0,0.9449484415555861,0.9779224936924883,0.6647468434401543,0.9457936602344665,-0.5054466139294735,0.9391592273410138,0.942854769522711,0.9828945036093947,0.6936137756781546
NEARUSDT,0.9400311584076524,0.7668367561487793,0.953952370178657,0.9410597644942427,0.9546763807892895,0.12641718383303951,-0.8361988137710246,0.8932520524375939,0.8982401815428025,0.8892886525589799,0.9449484415555861,1.0,0.9704641078159066,0.6184223571810117,0.9307708135953842,-0.4614518991821055,0.9161862986959168,0.9584021987719797,0.9249827910412549,0.6696048732969099
DOTUSDT,0.9791198107854384,0.759409508211081,0.9779406415840186,0.962253332271775,0.962966307075351,0.05876342750268612,-0.9046865620534567,0.8769682357095725,0.8805056492406004,0.9626087722336208,0.9779224936924883,0.9704641078159066,1.0,0.6967113525078483,0.9345685241879366,-0.44340663788248363,0.9092917706004164,0.9282713609622568,0.9710892998525846,0.6610258671168365
RESOLVUSDT,0.6706153451396649,0.6181927955885205,0.6136923429816217,0.7820264923586018,0.5716855589386585,-0.09265183782192156,-0.7619284939305438,0.4776120734115717,0.449587668411429,0.7801026419464369,0.6647468434401543,0.6184223571810117,0.6967113525078483,1.0,0.6287714367718505,-0.3040370786835329,0.5140080741280976,0.5593338722357682,0.6736671277809286,0.3443354367401997
FLOWUSDT,0.9127584232020125,0.8001088074893928,0.9221992605368582,0.9126286394049766,0.8960512368938967,0.06884400326463035,-0.9079165886908224,0.8849002837191702,0.8428438172514181,0.9045713057036763,0.9457936602344665,0.9307708135953842,0.9345685241879366,0.6287714367718505,1.0,-0.5778597334730923,0.8866196003175169,0.925031713798,0.9383200314080054,0.5220644249721351
SIRENUSDT,-0.494209410396035,-0.6376847364751526,-0.4214003602025035,-0.5221300499289468,-0.3969284338165218,-0.26642600086371004,0.5620396430641966,-0.5108532544486397,-0.36634456814897476,-0.493161942930192,-0.5054466139294735,-0.4614518991821055,-0.44340663788248363,-0.3040370786835329,-0.5778597334730923,1.0,-0.41640496909230035,-0.5058427640464471,-0.49630676267705387,-0.09347325656647817
ENAUSDT,0.920960044744958,0.6552918820820927,0.961814727232805,0.8427706452589124,0.9539034235246391,0.31677734406228136,-0.7895814553110121,0.8085305015482271,0.9744142438854622,0.8386845062762964,0.9391592273410138,0.9161862986959168,0.9092917706004164,0.5140080741280976,0.8866196003175169,-0.41640496909230035,1.0,0.9673743072911567,0.9052757620919953,0.8115593498533556
LTCUSDT,0.9233553896899668,0.7338725522850377,0.9520136409296049,0.8997787323631159,0.9397255132314095,0.30186015650181136,-0.8218347772578803,0.854020445967198,0.94753946651729,0.8502417933528945,0.942854769522711,0.9584021987719797,0.9282713609622568,0.5593338722357682,0.925031713798,-0.5058427640464471,0.9673743072911567,1.0,0.9124827504233755,0.7345933481516165
AAVEUSDT,0.9795007878408358,0.77310287072662,0.9682684545479235,0.9371018096687272,0.939480392875583,0.13290987697035742,-0.9237050856116598,0.85727792140334,0.8834046534695873,0.9663664611151174,0.9828945036093947,0.9249827910412549,0.9710892998525846,0.6736671277809286,0.9383200314080054,-0.49630676267705387,0.9052757620919953,0.9124827504233755,1.0,0.6484441643056805
TRXUSDT,0.7008417136134325,0.3299315174704261,0.7578839137593184,0.5721265381000891,0.7714772975294105,0.43895823304033343,-0.46320646008352856,0.4589645175751589,0.8514084333795117,0.5773933235346639,0.6936137756781546,0.6696048732969099,0.6610258671168365,0.3443354367401997,0.5220644249721351,-0.09347325656647817,0.8115593498533556,0.7345933481516165,0.6484441643056805,1.0
